Model,Val Accuracy,Val Macro F1,Test Accuracy,Test Macro F1
Majority,0.591304347826087,0.24772313296903462,0.6688311688311688,0.26718547341115434
Logistic Regression,0.6202898550724638,0.577204860842126,0.5616883116883117,0.44620876293876716
Linear SVM,0.6463768115942029,0.5880532548034492,0.6071428571428571,0.4550933016884915
