Model,Val Accuracy,Val Macro F1,Test Accuracy (Any)
Majority,0.30434782608695654,0.05185185185185185,
Logistic Regression,0.30144927536231886,0.29676048519512244,
Linear SVM,0.33043478260869563,0.30254786700012176,0.3538961038961039
